date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:11:48	448/448	U-----	200	untouched ('OK')	text/plain	etag:W/%221c0-LEvfIZx80gSA6qEjkhDT6fK6I20%22	https://moglokossi01.wixsite.com/robots.txt		(from )
21:11:48	358723/358723	U--MCZ	200	updated ('OK')	text/html	etag:W/%22ff4c29b163615cecccd812f0513fe9b7%22	https://moglokossi01.wixsite.com/dowope	D:/Projet%20mignon/dowope2/moglokossi01.wixsite.com/dowope.html	(from )
21:14:47	65591/65591	U--MCZ	200	updated ('OK')	text/javascript	date:Tue,%2019%20Mar%202024%2021:13:08%20GMT	https://polyfill-fastly.io/v3/polyfill.min.js?features=fetch	D:/Projet%20mignon/dowope2/polyfill-fastly.io/v3/polyfill.mind82c.js	(from https://moglokossi01.wixsite.com/dowope)
21:14:50	3029/3029	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Mar%202024%2021:14:50%20GMT	https://moglokossi01.wixsite.com/sitemap.xml	D:/Projet%20mignon/dowope2/moglokossi01.wixsite.com/sitemap.a.delayed	(from https://moglokossi01.wixsite.com/dowope)
21:14:51	4186/4186	U-----	200	untouched ('')	image/png	date:Tue,%2019%20Mar%202024%2019:29:48%20GMT	https://static.wixstatic.com/media/dea70f_129e893157da4e62a4b3d6bb59c6aae8~mv2.png/v1/fill/w_80,h_59,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/logo-no-background.png	D:/Projet%20mignon/dowope2/static.wixstatic.com/media/dea70f_129e893157da4e62a4b3d6bb59c6aae8_mv2.png/v1/fill/w_80,h_59,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/logo-no-background.png	(from https://moglokossi01.wixsite.com/dowope)
21:14:52	3669/3669	U-----	200	untouched ('')	image/jpeg	date:Tue,%2019%20Mar%202024%2017:08:19%20GMT	https://static.wixstatic.com/media/bd236043d97c4c799bf0101fd2a50e10.jpg/v1/fill/w_147,h_76,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/bd236043d97c4c799bf0101fd2a50e10.jpg	D:/Projet%20mignon/dowope2/static.wixstatic.com/media/bd236043d97c4c799bf0101fd2a50e10.jpg/v1/fill/w_147,h_76,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/bd236043d97c4c799bf0101fd2a50e10.jpg	(from https://moglokossi01.wixsite.com/dowope)
21:14:54	2730/2730	U-----	200	untouched ('')	image/jpeg	date:Tue,%2019%20Mar%202024%2017:08:22%20GMT	https://static.wixstatic.com/media/11062b_f16f404da81a4c65b25915cb334fe320~mv2.jpg/v1/fill/w_117,h_78,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/11062b_f16f404da81a4c65b25915cb334fe320~mv2.jpg	D:/Projet%20mignon/dowope2/static.wixstatic.com/media/11062b_f16f404da81a4c65b25915cb334fe320_mv2.jpg/v1/fill/w_117,h_78,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/11062b_f16f404da81a4c65b25915cb334fe320_mv2.jpg	(from https://moglokossi01.wixsite.com/dowope)
21:14:54	3029/3029	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Mar%202024%2021:14:55%20GMT	https://moglokossi01.wixsite.com/feed.xml	D:/Projet%20mignon/dowope2/moglokossi01.wixsite.com/feed.b.delayed	(from https://moglokossi01.wixsite.com/dowope)
21:14:56	65254/65254	U-----	200	untouched ('')	application/javascript	etag:%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	D:/Projet%20mignon/dowope2/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://moglokossi01.wixsite.com/dowope)
21:14:57	3028/3028	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Mar%202024%2021:14:58%20GMT	https://moglokossi01.wixsite.com/${n.uri}	D:/Projet%20mignon/dowope2/moglokossi01.wixsite.com/${n.c.delayed	(from https://moglokossi01.wixsite.com/dowope)
21:15:15	3028/3028	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Mar%202024%2021:15:16%20GMT	https://moglokossi01.wixsite.com/decodeURIComponent(e	D:/Projet%20mignon/dowope2/moglokossi01.wixsite.com/decodeURIComponent(e.13.delayed	(from https://moglokossi01.wixsite.com/dowope)
21:15:35	389280/389280	U--MCZ	200	updated ('OK')	text/html	etag:W/%22bbaa7f98c226366855a5ebb272a1a207%22	https://moglokossi01.wixsite.com/dowope/blank-2	D:/Projet%20mignon/dowope2/moglokossi01.wixsite.com/dowope/blank-2.html	(from https://moglokossi01.wixsite.com/dowope)
